Year,Length,Title,Subject
1988,83,Hot to Trot,Comedy
1986,103,Fire with Fire,Drama
1990,120,Hot Spot,Drama
1974,124,Amarcord,Drama
1988,85,Casablanca Express,Action
1980,94,Out of the Blue,Drama
1949,110,Sands of Iwo Jima,War
1981,104,Hand_ The,Horror
1989,81,Deep Cover,Mystery
1955,92,Il Bidone,Drama
1986,130,El Guerrero Solitario,Drama
1986,130,Heartbreak Ridge,War
1977,110,Goodbye Girl_ The,Comedy
1991,113,Audrey Rose,Drama
1981,86,Polyester,Comedy
1991,144,Robin Hood: Prince of Thieves,Action
1992,101,White Sands,Drama
1986,119,Color of Money_ The,Drama
1986,119,Children of a Lesser God,Drama
1986,131,Matador,Comedy
1989,88,Women on the Verge of a Nervous Breakdown,Comedy
1980,86,Pepi Luci Bom,Comedy
1989,100,Forgotten_ The,Mystery
1992,89,Flame & the Arrow_ The,Action
1990,92,After the Shock,Drama
1990,110,Modern Love,Comedy
1992,95,Riff Raff,Comedy
1967,81,Glory Stompers_ The,Action
1990,181,Dances with Wolves,Western
1987,130,Matewan,Drama
1988,120,Mississippi Burning,Drama
1975,130,Eiger Sanction_ The,Action
1988,109,Unsettled Land,Drama
1991,98,Cat Chaser,Drama
1988,110,Accused_ The,Drama
1989,109,Winter People,Drama
1983,101,Reuben_ Reuben,Comedy
1987,102,Made in Heaven,Fantasy
1986,109,Top Gun,Action
1985,112,Witness,Drama
1988,111,House on Carroll Street_ The,Mystery
1984,109,Racing with the Moon,Drama
1983,98,Lovesick,Comedy
1988,106,She's Having a Baby,Comedy
1965,199,Greatest Story Ever Told_ The,Drama
1989,105,Hawks,Drama
1981,91,So Fine,Comedy
1957,89,Paths of Glory,Drama
1964,120,Tom Jones,Drama
1975,103,Sunshine Boys_ The,Comedy
1988,98,Caddyshack 2,Comedy
1990,117,Internal Affairs,Drama
1991,206,JFK,Drama
1991,97,New Jack City,Action
1991,87,Scenes from a Mall,Comedy
1987,118,Hope & Glory,War
1970,194,Ryan's Daughter,Drama
1973,127,Man Who Loved Cat Dancing_ The,Western
1962,123,Man Who Shot Liberty Valance_ The,Western
1989,102,Dead-Bang,Action
1988,90,Big Top Pee-wee,Comedy
1960,103,Time Machine_ The,Science Fiction
1972,128,Cabaret,Drama
1981,97,Arthur,Comedy
1976,97,A Matter of Time,Drama
1977,137,New York_ New York,Drama
1989,89,Nightmare on Elm Street_ Pt. 5_ The Dream Child,Horror
1980,100,Fiendish Plot of Dr. Fu Manchu_ The,Comedy
1991,240,Four American Composers,Music
1950,112,Asphalt Jungle_ The,Action
1992,61,Ladies of the Chorus,Music
1953,95,How to Marry a Millionaire,Comedy
1983,131,Hollywood Out-Takes & Rare Footage,Comedy
1991,94,Nothing But Trouble,Comedy
1987,109,Wisdom,Action
1986,94,One Crazy Summer,Comedy
1989,110,We're No Angels,Comedy
1984,102,No Small Affair,Comedy
1990,127,Ghost,Science Fiction
1986,113,About Last Night,Drama
1982,107,Six Weeks,Drama
1948,89,Return of October,Comedy
1952,99,Come Back_ Little Sheba,Drama
1974,117,Going Places,Drama
1970,99,Monte Walsh,Western
1955,100,Mr. Arkadin,Drama
1988,131,White of the Eye,Mystery
1968,90,Producers_ The,Comedy
1976,94,Front_ The,Drama
1987,86,House of the Rising Sun,Drama
1988,91,In a Shallow Grave,Drama
1974,111,Mc Q,Action
1941,85,Lady from Louisiana,Drama
1990,102,Wait Until Spring Bandini,Drama
1940,105,Long Voyage Home_ The,Drama
1955,100,Trouble with Harry_ The,Mystery
1987,60,Encounters,Drama
1963,112,Hud,Drama
1951,111,Operation Pacific,War
1987,83,Surf Nazis Must Die,Horror
1956,124,Teahouse of the August Moon,Drama
1992,88,Back in the U.S.S.R.,Action
1970,91,Man Who Haunted Himself_ The,Drama
1991,108,Prisoner of Honor.,Drama
1988,83,Control,Drama
1923,57,Desert Rider,Western
1980,109,Wholly Moses!,Comedy
1991,110,Star Trek VI: The Undiscovered Country,Science Fiction
1989,107,Star Trek V: The Final Frontier,Action
1991,85,Circuitry Man,Action
1986,87,Cobra,Action
1987,103,Beverly Hills Cop II,Comedy
1990,90,Red Sonja,Action
1950,93,To Joy,Drama
1992,112,Macbeth,Drama
1958,128,Vertigo,Drama
1987,91,Young Love: Lemon Popsicle Seven,Comedy
1946,93,Crack-Up,Mystery
1941,57,Bury Me Not on the Lone Prairie,Western
1940,57,Law & Order,Western
1941,56,Man from Montana,Western
1992,137,Long Gray Line_ The,Drama
1950,105,Rio Grande,Western
1957,107,Wings of Eagles_ The,Drama
1939,94,Jamaica Inn,Drama
1971,110,Big Jake,Action
1992,153,Quiet Man_ The,Drama
1983,72,After the Rehearsal,Drama
1952,90,Big Jim McLain,Western
1969,101,Smith!,Western
1953,79,Wild One_ The,Drama
1929,129,Manxman_ The,Drama
1978,126,International Velvet,Drama
1981,104,Scanners,Horror
1986,98,Trick or Treat,Horror
1982,92,48 Hrs.,Action
1985,108,Trip to Bountiful_ The,Drama
1955,116,Mister Roberts,Comedy
1969,127,Z,Drama
1987,139,Maurice,Drama
1969,114,Hamlet,Drama
1991,117,La Femme Nikita,Drama
1993,95,Honeymoon in Vegas,Comedy
1988,90,Going for the Gold,Action
1976,128,Shout at the Devil,Action
1986,94,A Smoky Mountain Christmas,Music
1984,95,Getting Physical,Drama
1990,95,Torn Apart,Drama
1986,112,From the Hip,Comedy
1984,102,Ratings Game_ The,Comedy
1992,100,Class Act,Drama
1986,89,Water,Comedy
1978,88,Silent Movie,Comedy
1989,122,Pink Cadillac,Comedy
1979,94,Jerk_ The,Comedy
1980,180,Wild Times,Unknown
1986,107,Sweet Liberty,Comedy
1982,115,Grease II,Music
1989,104,Married to the Mob,Comedy
1985,121,Ladyhawke,Adventure
1989,114,Fabulous Baker Boys_ The,Drama
1985,115,Into the Night,Comedy
1991,124,Russia House_ The,Drama
1988,116,Tequila Sunrise,Mystery
1989,74,B. A. D. Cats,Action
1971,108,Last Movie_ The,Drama
1973,106,Dillinger,Drama
1988,360,Little Dorrit,Drama
1927,78,My Best Girl,Drama
1989,93,Seizure,Horror
1990,89,A Chorus of Disapproval,Comedy
1962,119,Rome Adventure,Drama
1992,121,Drowning by Numbers,Mystery
1991,88,Born to Ride,Action
1988,94,Her Alibi,Comedy
1988,96,Glitz,Mystery
1990,95,Dangerous Pursuit,Mystery
1962,123,Experiment in Terror,Mystery
1972,105,Hideaways_ The,Comedy
1965,108,What's New Pussycat,Comedy
1965,108,What's New Pussycat?,Comedy
1983,98,Packin' It In,Comedy
1988,90,Naked Gun: From the Files of Police Squad!_ THe,Comedy
1990,106,In Too Deep,Drama
1988,107,Twins,Comedy
1988,94,Experts_ The,Comedy
1989,94,Naked Lie,Drama
1987,87,Mistress,Drama
1992,131,Pleasure Palace,Action
1970,100,Adam at 6 A.M.,Drama
1990,93,Web of Deceit,Drama
1991,119,New York Stories,Comedy
1987,97,Dreams Lost_ Dreams Found,Drama
1987,103,Au Revoir les Enfants,Drama
1989,122,Quo Vadis,Drama
1949,100,Fighting Kentuckian_ The,Action
1974,104,Zardoz,Science Fiction
1989,84,Police Academy 6: City under Siege,Comedy
1988,90,Police Academy 5: Assignment Miami Beach,Comedy
1986,84,Police Academy 3: Back in Training,Comedy
1991,60,America's Music_ Blues,Music
1977,100,Julia,Drama
1971,111,Devils_ The,Drama
1984,90,Ransom,Drama
1990,97,Cadillac Man,Comedy
1986,104,Best of Times_ The,Comedy
1985,135,Death of a Salesman,Drama
1993,104,It Started with a Kiss,Drama
1989,88,Money_ The,Drama
1987,153,Empire of the Sun,Drama
1991,102,Comfort of Strangers_ The,Mystery
1969,135,On Her Majesty's Secret Service,Action
1986,96,Pretty in Pink,Drama
1987,90,PK. & the Kid.,Drama
1943,60,Lone Star Trail_ The,Western
1986,98,Summer,Comedy
1987,93,Planes_ Trains & Automobiles,Comedy
1990,119,Pretty Woman,Comedy
1991,111,Flatliners,Drama
1991,142,Hook,Action
1940,56,Riders of Pasco Basin,Western
1992,53,Gotta Dance_ Gotta Sing,Music
1990,106,Desperate Hours,Mystery
1986,111,Gung Ho,Comedy
1992,96,Shooting Elizabeth,Mystery
1951,101,Strangers on a Train,Mystery
1979,198,Sacketts_ The,Western
1991,87,To Die Standing,Action
1980,92,Rodeo Girl,Drama
1969,110,Butch Cassidy & the Sundance Kid,Western
1968,121,Hellfighters,Action
1980,92,Final Countdown_ The,Action
1986,120,Blue Velvet,Mystery
1989,110,Cousins,Comedy
1976,90,Black & White in Color,Comedy
1988,81,Another Woman,Drama
1992,128,Night on Earth,Drama
1988,92,Permanent Record,Drama
1992,138,Fisher King_ The,Drama
1991,98,Another You,Comedy
1958,167,Young Lions_ The,Drama
1988,89,Cheerleader Camp,Horror
1990,98,Trapper County War,Action
1947,96,Angel & the Badman,Western
1990,109,Impulse,Mystery
1988,91,Track Twenty-Nine,Drama
1991,110,Freejack,Action
1939,109,John Wayne Matinee Double Feature_ No. 1,Western
1988,81,Smallest Show on Earth_ The,Comedy
1987,120,Innerspace,Science Fiction
1988,97,Presidio_ The,Action
1990,102,Joe Versus the Volcano,Comedy
1991,135,Doors_ The,Drama
1990,98,Welcome Home_ Roxy Carmichael,Comedy
1972,99,Cancel My Reservation,Comedy
1991,135,North by Northwest,Mystery
1966,127,Russians Are Coming_ the Russians Are_ The,Comedy
1992,213,Exodus,Drama
1982,128,Ballad of Narayama_ The,Drama
1985,96,Out of the Darkness,Mystery
1971,90,Garden of the Finzi-Continis_ The,Drama
1974,105,Steppenwolf,Drama
1973,100,Mackintosh Man_ The,Action
1968,105,Partner,Drama
1970,107,Conformist_ The,Drama
1971,102,Dirty Harry,Drama
1986,103,Ferris Bueller's Day Off,Comedy
1986,89,Legend,Science Fiction
1984,110,Buddy System_ The,Drama
1989,97,A Dry White Season,Drama
1975,105,Rocky Horror Picture Show_ The,Music
1968,360,War & Peace,Drama
1992,96,Defense of the Realm,Drama
1991,90,Basil The Rat,Comedy
1979,90,Fawlty Towers_ Gourmet Night_ Waldorf Salad & The Kipper & the Corpse,Comedy
1991,80,Going Under,Comedy
1990,83,U S. Sub Standard.,Comedy
1990,131,Hells Angels on Wheels,Action
1975,118,Passenger_ The,Drama
1973,127,Last Tango in Paris,Drama
1987,155,Indigo Autumn & Lilac Dream,Drama
1924,95,Kriemhild's Revenge_ The Nibelungenlied,Drama
1966,102,Johnny Tiger,Drama
1986,90,Head Office,Comedy
1990,131,Live & Let Die,Action
1972,100,Le Charme Discret de la Bourgeoisie,Comedy
1986,83,Blue City,Action
1983,123,Bad Boys,Drama
1986,82,Whoopee Boys_ The,Comedy
1971,118,Last Picture Show_ The,Drama
1988,93,Diamond Trap_ The,Drama
1981,115,Endless Love,Drama
1976,90,Rocky,Drama
1988,103,Cocktail,Drama
1936,77,Sabotage,Mystery
1977,105,Madame Rosa,Drama
1985,56,Fozzie's Muppet Scrapbook,Comedy
1954,110,Desiree,Drama
1960,185,Spartacus,Drama
1955,150,Guys & Dolls,Comedy
1992,95,Until They Sail,Drama
1988,116,Coming to America,Comedy
1963,93,Lilies of the Field,Drama
1987,99,River's Edge,Drama
1986,93,Ruthless People,Comedy
1987,110,Secret of My Success_ The,Comedy
1965,128,Shop on Main Street_ The,Drama
1988,101,Funny Farm,Comedy
1988,120,Lonely Passion of Judith Hearne_ The,Drama
1978,103,California Suite,Comedy
1986,97,Maximum Overdrive,Horror
1985,116,Pale Rider,Western
1990,88,Kissing Place_ The,Drama
1986,90,French Lesson,Comedy
1985,88,Roller Blade,Action
1964,101,A Shot in the Dark,Comedy
1979,88,Treasure Seekers_ The,Action
1982,122,Missing,Drama
1989,99,Picasso Trigger,Action
1987,97,Hard Ticket to Hawaii,Action
1990,131,Diamonds are Forever,Action
1933,72,Baby Face,Drama
1992,95,Violent Men_ The,Action
1985,117,Cocoon,Science Fiction
1986,96,Clockwise,Comedy
1993,103,Romantic Comedy,Comedy
1981,111,Outland,Science Fiction
1967,114,Hang 'em High,Western
1992,123,Basic Instinct,Mystery
1990,113,Total Recall,Action
1987,115,Stakeout,Comedy
1992,104,Unnamable II_ The Statement of Randolph Carter_ The,Drama
1967,85,Trip_ The,Drama
1987,135,Ironweed,Drama
1979,131,Kramer vs. Kramer,Drama
1988,131,Still of the Night,Mystery
1991,112,Defending Your Life,Comedy
1978,183,Deer Hunter_ The,Drama
1984,106,Falling in Love,Drama
1986,108,Heartburn,Comedy
1983,131,Silkwood,Drama
1982,151,Sophie's Choice,Drama
1985,161,Out of Africa,Drama
1981,127,French Lieutenant's Woman_ The,Drama
1985,124,Plenty,Drama
1988,122,A Cry in the Dark,Drama
1989,99,She-Devil,Comedy
1992,103,Death Becomes Her,Drama
1991,28,Kids & Pesticides,Drama
1970,129,On a Clear Day You Can See Forever,Music
1987,100,Nuts,Drama
1983,134,Yentl,Music
1968,151,Funny Girl,Music
1990,97,Fellow Traveller,Drama
1970,140,Dodesukaden,Drama
1987,131,Sicilian_ The,Drama
1941,117,So Ends Our Night,Drama
1984,102,Sword of the Valiant,Action
1949,78,Devil's Wanton_ The,Drama
1989,99,Driving Miss Daisy,Drama
1991,111,Seventh Cross_ The,Drama
1983,105,Between Friends,Drama
1957,173,Raintree County,Drama
1975,101,Driver's Seat_ The,Drama
1967,109,Reflections in a Golden Eye,Drama
1972,110,X_ Y & Zee,Drama
1968,109,Secret Ceremony,Drama
1963,243,Cleopatra,Drama
1950,131,Father of the Bride,Comedy
1992,130,Who's Afraid of Virginia Woolf?,Drama
1977,110,A Little Night Music,Music
1956,201,Giant,Drama
1985,94,Rumor Mill_ The,Drama
1943,90,Lassie Come Home,Drama
1993,76,Return Engagement,Drama
1972,108,Hammersmith Is Out,Drama
1991,60,Super Duper Bloopers,Comedy
1991,131,Elizabeth Taylor Collection_ The,Drama
1973,99,Ash Wednesday,Drama
1991,117,Last Time I Saw Paris_ The,Drama
1931,125,Cimarron,Western
1992,83,Apache Woman,Western
1984,131,Gary Numan - Berzerker,Music
1988,101,Mystic Pizza,Comedy
1991,95,Dogfight,Action
1935,234,Adventures of Rex & Rinty_ The,Western
1988,60,Daphnis & Chloe,Music
1980,97,Marathon,Comedy
1948,127,Fort Apache,Western
1937,100,Wee Willie Winkie,Drama
1987,91,Big Shots,Action
1988,85,Doin' Time on Planet Earth,Comedy
1983,91,All the Right Moves,Drama
1987,93,Some Kind of Wonderful,Drama
1990,87,All New Tales from the Crypt_ A Trilogy,Horror
1985,116,Back to the Future,Comedy
1963,80,Winter Light,Drama
1963,95,Silence_ The,Drama
1959,100,Magician_ The,Drama
1961,154,Four Horsemen of the Apocalypse_ The,Drama
1986,99,Critical Condition,Comedy
1989,88,Center of the Web,Mystery
1990,110,Border Shootout,Action
1989,109,Lean on Me,Drama
1986,221,On Wings of Eagles,Drama
1941,94,Texas,Western
1939,80,Allegheny Uprising,Drama
1940,95,Dark Command,Western
1986,103,Peggy Sue Got Married,Drama
1989,84,Dear America_ Letters Home from Vietnam,War
1985,130,Prizzi's Honor,Comedy
1983,90,Man with Two Brains_ The,Comedy
1984,101,Crimes of Passion,Drama
1985,106,Jewel of the Nile_ The,Action
1984,106,Romancing the Stone,Action
1988,121,Accidental Tourist_ The,Comedy
1955,117,Sea Chase_ The,War
1958,98,Another Time_ Another Place,Drama
1988,90,Cannibal Women in the Avocado Jungle of Death,Comedy
1986,91,Mr Love.,Comedy
1968,139,2001: A Space Odyssey,Science Fiction
1966,81,Persona,Drama
1973,131,Scenes from a Marriage,Drama
1968,88,Hour of the Wolf,Drama
1969,101,Passion of Anna_ The,Drama
1984,96,Dangerous Moves,Drama
1957,147,Sayonara,Drama
1968,158,Where Eagles Dare,War
1985,95,Teen Wolf,Drama
1990,88,Amazon,Action
1973,131,Paper Chase_ The,Drama
1959,88,Virgin Spring_ The,Drama
1970,97,Spider's Stratagem,Drama
1971,102,Play Misty for Me,Mystery
1981,88,Going Ape,Comedy
1967,127,Cool Hand Luke,Drama
1988,89,Phantom of the Ritz,Horror
1990,85,Crash & Burn,Science Fiction
1991,114,After Dark My Sweet,Mystery
1992,121,Christopher Columbus: The Discovery,Adventure
1986,109,Young Sherlock Holmes,Mystery
1991,104,Doc Hollywood,Comedy
1988,96,Baja Oklahoma,Comedy
1986,137,Aliens,Science Fiction
1992,115,Alien Three,Science Fiction
1997,109,Alien: resurrection,Science Fiction
1979,117,Alien,Science Fiction
1985,97,One Woman or Two,Comedy
1984,96,Soggy Bottom U. S. A.,Comedy
1973,96,Bang the Drum Slowly,Drama
1974,82,Catamount Killing_ The,Action
1972,92,Fuzz,Action
1966,101,Shoot Loud_ Louder_ I Don't Understand!,Mystery
1967,107,Bedazzled,Comedy
1977,120,Prince & the Pauper_ The,Action
1969,110,One Hundred Rifles,Western
1975,90,Wild Party_ The,Drama
1968,106,Bandolero!,Western
1973,119,Last of Sheila_ The,Mystery
1972,87,Hannie Caulder,Drama
1990,131,Sounds of the Seventies...& the Beat Goes,Music
1988,161,Bird,Drama
1955,60,Meet Millie,Drama
1987,88,Hell Comes to Frogtown,Science Fiction
1966,126,Fortune Cookie_ The,Comedy
1990,92,Sun Shines Bright_ The,Action
1987,106,Squeeze_ The,Action
1970,91,Start the Revolution Without Me,Comedy
1989,107,Major League,Comedy
1990,108,Bright Lights_ Big City,Drama
1987,97,Lost Boys_ The,Horror
1989,93,Cookie,Comedy
1974,114,Conversation_ The,Drama
1973,112,American Graffiti,Comedy
1953,96,Dangerous When Wet,Music
1980,111,Stir Crazy,Comedy
1989,91,Young Einstein,Comedy
1956,83,Killing_ The,Drama
1973,102,Cahill_ United States Marshal,Western
1989,90,Savage Intruder_ The,Horror
1992,139,Sheltering Sky_ The,Drama
1982,125,An Officer & a Gentleman,Drama
1987,101,Black Widow,Mystery
1986,116,Legal Eagles,Comedy
1970,90,Bloody Mama,Action
1965,106,A Patch of Blue,Drama
1955,109,I Died a Thousand Times,Drama
1977,90,Tentacles,Horror
1968,100,Scalphunters_ The,Western
1992,96,A Day in October,Drama
1964,102,A Fistful of Dollars,Westerns
1985,94,My Science Project,Comedy
1991,160,Great Race_ The,Comedy
1956,119,Searchers_ The,Western
1979,105,Meteor,Action
1955,111,Rebel Without a Cause,Drama
1961,153,West Side Story,Music
1970,110,Trash,Comedy
1966,95,A Big Hand for the Little Lady,Comedy
1966,104,A Fine Madness,Comedy
1987,134,Glass Menagerie_ The,Drama
1989,117,Harry & Son,Drama
1968,102,Rachel_ Rachel,Drama
1961,98,Paris Blues,Drama
1960,135,Fugitive Kind_ The,Drama
1993,131,Mr. & Mrs. Bridge,Drama
1991,144,State of Grace,Drama
1943,108,Shadow of a Doubt,Drama
1950,85,Men_ The,Drama
1950,110,Stage Fright,Mystery
1947,103,Magic Town,Drama
1975,93,That Lucky Touch,Action
1949,90,Lust for Gold,Drama
1987,103,Heat,Mystery
1993,75,Employee's Entrance,Drama
1947,87,Night Is My Future,Drama
1990,92,Witches_ The,Science Fiction
1953,94,Vera Cruz,Action
1954,91,Apache,Western
1977,146,Twilight's Last Gleaming,Drama
1979,119,Frisco Kid_ The,Comedy
1954,30,Bank on the Stars,Drama
1987,100,Law of Desire,Drama
1966,103,Quiller Memorandum_ The,Mystery
1962,183,Longest Day_ The,War
1986,128,Name of the Rose_ The,Drama
1988,92,Bloodsport,Action
1986,85,Torment,Horror
1988,138,Pelle the Conqueror,Drama
1981,118,Taps,Drama
1991,102,Freshman_ The,Comedy
1987,164,Last Emperor_ The,Drama
1962,100,Grim Reaper_ The,Drama
1983,90,Le Dernier Combat,Drama
1989,91,Too Beautiful for You,Drama
1991,105,Fire_ Ice & Dynamite,Action
1963,113,Heavens Above,Comedy
1961,141,One Eyed Jacks,Western
1937,61,Swing It_ Sailor!,Comedy
1987,94,Wolf at the Door_ The,Drama
1936,87,Modern Times,Comedy
1991,114,Thunderbolt & Lightfoot,Action
1931,87,A Nous la Liberte,Drama
1979,95,Scum,Action
1984,90,Inside Man_ The,Action
1979,153,Apocalypse Now,Drama
1990,94,Bellboy & the Playgirls_ The,Drama
1963,81,Terror_ The,Horror
1963,86,Raven_ The,Horror
1975,87,They Came from Within,Horror
1986,97,Boy in Blue_ The,Drama
1991,87,Killer Tomatoes Strike Back,Comedy
1979,87,Attack of the Killer Tomatoes,Comedy
1987,119,Untouchables_ The,Drama
1986,91,Wise Guys,Comedy
1989,90,American Autobahn,Drama
1990,94,Final Alliance_ The,Action
1984,130,Bounty_ The,Drama
1974,89,Little Prince_ The,Music
1975,94,Posse,Western
1982,136,Firefox,Action
1987,91,Penitentiary III,Action
1993,131,Ginger & Fred,Comedy
1966,107,Wrong Box_ The,Comedy
1990,86,Wagonmaster,Western
1945,135,They Were Expendable,War
1991,125,Last Hurrah_ The,Drama
1949,59,Law of the Golden West,Western
1949,60,Pioneer Marshal,Western
1949,60,Ranger of the Cherokee Strip,Western
1950,60,Vanishing Westerner,Western
1948,59,Bandits of Dark Canyon,Western
1948,60,Bold Frontiersman_ The,Western
1948,59,Wild Frontier_ The,Western
1968,73,Firemen's Ball_ The,Comedy
1983,112,Local Hero,Comedy
1971,104,French Connection_ The,Drama
1985,114,To Live & Die in L. A.,Action
1961,113,Ferry to Hong Kong,Drama
1983,69,Eddie Murphy_ Delirious,Comedy
1984,77,Secret Policeman's Private Parts_ The,Comedy
1958,83,Up the Creek,Comedy
1982,111,Yol,Drama
1989,150,Sara Dane,Drama
1988,84,Night Tide,Drama
1953,92,His Majesty O'Keefe,Action
1960,122,North to Alaska,Western
1966,76,Flight to Fury,Action
1966,82,Ride in the Whirlwind,Western
1970,93,Powderkeg,Western
1953,95,I Confess,Drama
1935,88,Thirty-Nine Steps_ The,Science Fiction
1969,126,Topaz,Mystery
1930,95,Murder,Mystery
1954,123,Dial M for Murder,Mystery
1937,80,Young & Innocent,Mystery
1976,95,Creature from Black Lake,Horror
1981,124,Chariots of Fire,Drama
1982,81,Monty Python Live at the Hollywood Bowl,Comedy
1975,129,Man Who Would Be King_ The,Drama
1981,117,Victory,Drama
1970,146,Kelly's Heroes,War
1989,109,Next of Kin,Mystery
1990,96,Chattahoochee,Drama
1985,82,Angelic Conversation_ The,Comedy
1986,107,Down by Law,Comedy
1984,141,Killing Fields_ The,Drama
1992,85,Survival Zone,Action
1979,94,Monty Python's Life of Brian,Comedy
1983,107,Monty Python's the Meaning of Life,Comedy
1971,121,Red Tent_ The,Action
1945,82,Dakota,Western
1952,112,Viva Zapata!,Drama
1968,133,Green Berets_ The,War
1990,90,Big Bad John,Action
1937,71,Ticket of Leave Man_ The,Mystery
1956,106,D-Day_ The Sixth of June,War
1974,121,Apprenticeship of Duddy Kravitz_ The,Drama
1971,138,A Clockwork Orange,Science Fiction
1991,117,Full Metal Jacket,War
1943,82,Sanshiro Sugata,Drama
1991,97,Rhapsody in August,Drama
1946,110,No Regrets for Our Youth,Drama
1960,152,Bad Sleep Well_ The,Drama
1951,166,Idiot_ The,Drama
1951,83,Rashomon,Drama
1962,96,Sanjuro,Mystery
1955,200,Seven Samurai,Drama
1957,110,Throne of Blood,Drama
1961,110,Yojimbo,Action
1980,161,Kagemusha,Drama
1952,134,Ikiru,Drama
1987,90,Empire of Spiritual Ninja,Action
1986,90,Ninja_ the Violent Sorcerer,Action
1926,139,Metropolis,Science Fiction
1946,106,Cloak & Dagger,Mystery
1920,137,Spiders,Drama
1954,90,Human Desire,Drama
1928,130,Spies,Drama
1933,120,Testament of Dr. Mabuse_ The,Drama
1991,95,Fury,Drama
1990,129,Mo' Better Blues,Drama
1989,30,Matt Talbot,Drama
1989,55,Will Rogers_ Look Back in Laughter,Comedy
1991,130,For a Few Dollars More,Westerns
1944,139,Thirty Seconds over Tokyo,War
1982,93,Class of 1984,Drama
1974,109,Juggernaut,Action
1987,120,Good Morning_ Vietnam,Comedy
1945,94,Blood on the Sun,Drama
1969,161,Paint Your Wagon,Music
1964,105,Ensign Pulver,Comedy
1976,92,Street People,Action
1984,83,Manhunt_ The,Action
1987,85,Operation Nam,War
1944,100,Fighting Seabees_ The,War
1988,75,Let It Rock,Drama
1978,90,Eraserhead,Horror
1955,87,Ladykillers_ The,Comedy
1957,97,Sweet Smell of Success,Drama
1971,88,And Now for Something Completely Different,Comedy
1984,92,Crackers,Action
1991,89,Green Glove,Drama
1970,89,Menace on the Mountain,Action
1940,90,In Old California,Western
1967,85,Thirty Is a Dangerous Age_ Cynthia,Comedy
1980,99,Ffolkes,Action
1970,111,Chisum,Western
1990,135,Hunt for Red October_ The,Drama
1966,123,Closely Watched Trains,Drama
1973,91,Executive Action,Drama
1942,101,Flying Tigers,Action
1991,87,Father's Little Dividend,Comedy
1982,92,An Evening with Robin Williams,Comedy
1987,90,Eddie Murphy Raw,Comedy
1989,118,Harlem Nights,Comedy
1973,93,Santee,Western
1987,90,Good Father_ The,Drama
1971,115,Sometimes a Great Notion,Drama
1970,117,Catch Twenty-Two,Comedy
1988,90,Dark Age,Action
1981,94,Deadline,Mystery
1935,60,Mysterious Mr. Wong,Mystery
1988,92,A Month in the Country,Drama
1990,97,Prom Night III_ The Last Kiss,Horror
1990,131,Blood in_ Blood Out,Drama
1989,94,Wrong Arm of the Law_ The,Comedy
1987,116,Orphans,Drama
1976,139,All the President's Men,Drama
1987,73,J-Men Forever,Action
1969,144,Wild Bunch_ The,Western
1988,92,Judgement in Berlin,Drama
1993,131,Hot Line_ The,Comedy
1988,100,Rocket Gibraltar,Drama
1975,112,Yakuza_ The,Action
1972,116,Jeremiah Johnson,Drama
1970,112,Burn!,Drama
1973,122,Magnum Force,Action
1989,86,Cyborg,Action
1979,108,Prisoner of Zenda_ The,Comedy
1983,86,Scream,Horror
1986,140,Assault_ The,Drama
1951,102,Flying Leathernecks,Action
1985,92,What Comes Around,Drama
1980,123,Mon Oncle D'Amerique,Comedy
1972,92,Culpepper Cattle Company_ The,Western
1983,102,Survivors_ The,Comedy
1984,96,Roadhouse Sixty-Six,Action
1991,60,Burning Poles_ Cecil Taylor in Performance,Music
1987,98,Russkies,Action
1990,96,My Blue Heaven,Comedy
1990,103,Altered States,Science Fiction
1972,128,Cowboys_ The,Western
1985,95,Code Name_ Emerald,Drama
1970,170,Patton,War
1969,123,Midnight Cowboy,Drama
1985,131,Falcon & the Snowman_ The,Drama
1976,112,Maitresse,Drama
1987,86,Disorderlies,Comedy
1991,131,Raging Bull,Drama
1991,60,Garrison Keillor's Home,Comedy
1938,55,Overland Stage Raiders,Western
1938,55,Pals of the Saddle,Western
1982,92,Alone in the Dark,Horror
1971,109,Beguiled_ The,Drama
1979,112,Escape from Alcatraz,Drama
1948,88,Criss Cross,Drama
1976,132,Midway,War
1990,126,Indiana Jones & the Last Crusade,Action
1993,90,Duel,Mystery
1991,193,Separate but Equal,Drama
1924,123,Gosta Berling's Saga,Drama
1986,120,Platoon,Drama
1963,89,Crawling Hand_ The,Science Fiction
1971,100,Willy Wonka & the Chocolate Factory,Music
1971,88,Joe Kidd,Western
1985,104,Santa Claus_ The Movie,Comedy
1938,96,Boys Town,Drama
1990,59,Erasure_ Live Wild!,Music
1982,150,A Question of Honor,Drama
1947,61,Check Your Guns,Western
1947,56,West to Glory,Western
1937,60,Throwback_ The,Western
1992,54,Border Feud,Action
1947,58,Fighting Vigilantes_ The,Western
1947,53,Law of the Lash,Western
1949,66,Outlaw Country,Western
1992,53,Return of the Lash,Action
1937,60,Mystery of the Hooded Horsemen,Western
1937,60,Tex Rides with the Boy Scouts,Western
1949,59,Shadows of the West,Western
1991,102,Instant Karma,Comedy
1957,73,Time Lock,Drama
1953,79,Appointment in Honduras,Drama
1982,136,Danton,Drama
1960,164,Alamo_ The,Action
1986,91,La Chevre_ (The Goat),Drama
1985,109,Les Comperes,Comedy
1990,128,Dead Poets Society,Drama
1952,93,Othello_ The Lost Masterpiece,Drama
